City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Carnarvon,AU,2021-10-25 20:53:01,-24.8667,113.6333,62.67,63,40,12.66
145,Tura,IN,2021-10-25 20:56:56,25.5198,90.2201,66.0,93,0,2.73
146,Zhigansk,RU,2021-10-25 20:53:45,66.7697,123.3711,22.08,96,100,9.93
147,Morehead,US,2021-10-25 20:56:57,37.2711,-87.1764,57.15,76,90,5.01
148,Ribeira Grande,PT,2021-10-25 20:56:57,38.5167,-28.7,68.4,77,40,13.8
149,Port Hardy,CA,2021-10-25 20:56:58,50.6996,-127.4199,55.4,76,75,27.63
150,Douglas,US,2021-10-25 20:56:58,41.3,-96.167,57.15,62,1,3.0
151,Inhambane,MZ,2021-10-25 20:56:59,-23.865,35.3833,71.29,82,17,7.83
152,Talnakh,RU,2021-10-25 20:56:59,69.4865,88.3972,16.97,96,100,7.09
153,Eureka,US,2021-10-25 20:57:00,40.8021,-124.1637,61.25,61,60,8.99
154,Camacha,PT,2021-10-25 20:54:59,33.0833,-16.3333,65.62,73,75,13.8
155,Saint-Georges,GD,2021-10-25 20:57:00,12.0564,-61.7485,83.88,74,40,20.71
156,Coihaique,CL,2021-10-25 20:52:29,-45.5752,-72.0662,48.15,76,90,4.61
157,Norman Wells,CA,2021-10-25 20:57:01,65.282,-126.8329,23.04,93,90,3.44
158,Chicama,PE,2021-10-25 20:57:02,-7.8447,-79.1469,63.14,64,57,9.28
159,East London,ZA,2021-10-25 20:57:03,-33.0153,27.9116,64.83,78,88,15.48
160,Mahebourg,MU,2021-10-25 20:57:03,-20.4081,57.7,73.69,78,40,11.5
161,Sao Joao Da Barra,BR,2021-10-25 20:52:54,-21.6403,-41.0511,71.69,84,100,11.52
162,Marsa Matruh,EG,2021-10-25 20:57:04,31.3525,27.2453,71.8,73,20,5.75
163,Hambantota,LK,2021-10-25 20:57:05,6.1241,81.1185,78.73,85,99,11.3
164,Lorengau,PG,2021-10-25 20:57:05,-2.0226,147.2712,82.06,75,47,4.18
165,Te Anau,NZ,2021-10-25 20:57:05,-45.4167,167.7167,58.35,84,69,1.03
166,Nome,US,2021-10-25 20:53:58,64.5011,-165.4064,26.17,84,55,6.51
167,Kant,IN,2021-10-25 20:57:06,27.8,79.8,69.15,71,0,6.71
168,Flinders,AU,2021-10-25 20:53:50,-34.5833,150.8552,61.81,79,3,1.01
169,Buchanan,LR,2021-10-25 20:57:07,5.8808,-10.0467,78.76,88,100,6.31
170,Carros,FR,2021-10-25 20:57:07,43.7894,7.184,60.51,75,75,5.75
171,Marzuq,YE,2021-10-25 20:57:08,14.4,46.4667,71.15,59,15,2.8
172,Fort Saint James,CA,2021-10-25 20:57:08,54.4333,-124.25,46.33,68,100,5.06
173,Ixtapa,MX,2021-10-25 20:57:09,20.7,-105.2,84.22,74,100,4.0
174,Ostersund,SE,2021-10-25 20:57:10,63.1792,14.6357,39.65,100,90,5.75
175,Charters Towers,AU,2021-10-25 20:57:10,-20.1,146.2667,72.34,79,95,9.8
176,Vila,PT,2021-10-25 20:57:10,42.0304,-8.1588,50.94,89,2,3.13
177,Bayangol,RU,2021-10-25 20:57:11,50.6977,103.4656,26.11,72,64,3.11
178,Japura,ID,2021-10-25 20:57:11,-0.3167,102.35,74.12,96,94,1.79
179,Evanston,US,2021-10-25 20:57:12,42.0411,-87.6901,54.37,73,75,4.0
180,Sayyan,YE,2021-10-25 20:57:12,15.1718,44.3244,55.9,25,2,1.81
181,Bichena,ET,2021-10-25 20:57:13,10.45,38.2,54.32,56,38,4.94
182,Pingliang,CN,2021-10-25 20:57:13,35.5392,106.6861,45.05,76,100,13.51
183,Poum,NC,2021-10-25 20:57:13,-20.2333,164.0167,75.42,69,3,17.25
184,Acapulco,MX,2021-10-25 20:57:14,16.8634,-99.8901,80.71,87,100,6.33
185,Clyde River,CA,2021-10-25 20:57:14,70.4692,-68.5914,23.23,74,90,3.44
186,Uige,AO,2021-10-25 20:57:15,-7.6087,15.0613,66.85,99,100,1.41
187,Pacific Grove,US,2021-10-25 20:57:15,36.6177,-121.9166,64.45,75,75,1.99
188,Labuan,MY,2021-10-25 20:57:16,5.2767,115.2417,77.36,94,20,5.01
189,Atbasar,KZ,2021-10-25 20:57:16,51.8,68.3333,49.41,45,100,13.78
190,Honiara,SB,2021-10-25 20:53:18,-9.4333,159.95,82.04,79,12,4.83
191,Lata,PT,2021-10-25 20:57:17,40.1629,-8.3327,58.82,93,0,2.15
192,Belyy Yar,RU,2021-10-25 20:57:17,53.6039,91.3903,46.29,66,0,6.71
193,General Pico,AR,2021-10-25 20:57:17,-35.6566,-63.7568,91.13,10,0,13.73
194,Kapaa,US,2021-10-25 20:57:18,22.0752,-159.319,77.18,93,90,1.01
195,Esso,RU,2021-10-25 20:57:18,55.9333,158.7,24.76,96,98,4.94
196,Mecca,SA,2021-10-25 20:57:19,21.4267,39.8261,79.88,62,2,1.83
197,Ancud,CL,2021-10-25 20:53:59,-41.8697,-73.8203,56.73,93,100,13.67
198,Eregli,TR,2021-10-25 20:54:14,37.5133,34.0467,45.54,70,96,2.57
199,Novoorsk,RU,2021-10-25 20:57:19,51.381,58.9813,36.25,85,39,10.36
200,Kenora,CA,2021-10-25 20:57:20,49.8167,-94.4337,45.79,57,20,10.36
201,Cravo Norte,CO,2021-10-25 20:57:21,6.3017,-70.2041,84.09,65,99,6.64
202,Bloomfield,US,2021-10-25 20:57:21,40.8068,-74.1854,77.22,74,75,1.01
203,Tautira,PF,2021-10-25 20:57:21,-17.7333,-149.15,80.62,75,91,3.91
204,Christchurch,NZ,2021-10-25 20:56:07,-43.5333,172.6333,59.02,85,90,1.99
205,Bulalacao,PH,2021-10-25 20:57:22,12.3254,121.3435,79.32,80,54,13.29
206,Horn Lake,US,2021-10-25 20:57:23,34.9554,-90.0348,71.94,59,3,13.0
207,Rantauprapat,ID,2021-10-25 20:57:23,2.1,99.8333,72.61,98,95,1.5
208,Ilhabela,BR,2021-10-25 20:57:23,-23.7781,-45.3581,67.91,89,98,9.4
209,Binzhou,CN,2021-10-25 20:57:24,37.3667,118.0167,53.01,66,100,5.5
210,Hamilton,US,2021-10-25 20:57:24,39.1834,-84.5333,56.59,88,100,1.01
211,Dunedin,NZ,2021-10-25 20:57:25,-45.8742,170.5036,56.8,94,100,3.0
212,Tufanganj,IN,2021-10-25 20:57:25,26.3167,89.6667,68.99,90,0,4.61
213,Prince Rupert,CA,2021-10-25 20:57:25,54.3161,-130.3201,51.49,71,100,2.3
214,Port Macquarie,AU,2021-10-25 20:57:26,-31.4333,152.9167,62.56,80,50,8.52
215,Onda,ES,2021-10-25 20:57:26,39.9667,-0.25,62.29,83,100,3.67
216,Svetlaya,RU,2021-10-25 20:57:27,46.5389,138.3297,44.28,61,0,6.06
217,Ambon,ID,2021-10-25 20:57:27,-3.6954,128.1814,77.14,88,20,4.61
218,Ponta Do Sol,PT,2021-10-25 20:57:27,32.6667,-17.1,70.72,71,23,6.96
219,Saldanha,ZA,2021-10-25 20:57:28,-33.0117,17.9442,66.25,77,40,10.49
220,Alofi,NU,2021-10-25 20:53:20,-19.0595,-169.9187,77.14,71,39,15.93
221,Palimbang,PH,2021-10-25 20:57:29,6.2106,124.1894,77.5,85,99,4.88
222,Sobolevo,RU,2021-10-25 20:57:29,54.4299,31.8996,33.76,77,68,10.71
223,Nova Praha,UA,2021-10-25 20:57:29,48.5682,32.9027,32.0,58,4,4.36
224,La Ronge,CA,2021-10-25 20:57:30,55.1001,-105.2842,39.45,75,90,19.57
225,Cayenne,GF,2021-10-25 20:57:30,4.9333,-52.3333,77.04,92,75,1.14
226,Ostrovnoy,RU,2021-10-25 20:53:07,68.0531,39.5131,20.59,95,60,6.93
227,Lisala,CD,2021-10-25 20:57:31,2.15,21.5167,71.02,91,40,1.32
228,Rumoi,JP,2021-10-25 20:57:31,43.9344,141.6428,47.28,87,100,6.44
229,Xai-Xai,MZ,2021-10-25 20:55:08,-25.0519,33.6442,70.75,93,98,7.47
230,Bengkulu,ID,2021-10-25 20:57:32,-3.8004,102.2655,74.55,89,100,2.91
231,Mehamn,NO,2021-10-25 20:57:32,71.0357,27.8492,28.31,87,77,21.7
232,Kochi,IN,2021-10-25 20:57:33,9.9399,76.2602,75.18,91,97,5.21
233,Atar,MR,2021-10-25 20:57:33,20.5169,-13.0499,86.36,20,93,8.93
234,Constitucion,CL,2021-10-25 20:53:51,-35.3333,-72.4167,64.26,63,78,20.07
235,Miranda De Ebro,ES,2021-10-25 20:57:34,42.6865,-2.947,55.53,93,74,1.74
236,Otane,NZ,2021-10-25 20:57:34,-39.8833,176.6333,64.38,67,38,1.97
237,Trelew,AR,2021-10-25 20:57:35,-43.249,-65.3051,69.94,21,100,29.46
238,Aswan,EG,2021-10-25 20:54:14,24.0934,32.907,79.9,29,0,9.22
239,San Miguel,SV,2021-10-25 20:57:36,13.4833,-88.1833,84.61,79,37,3.98
240,Krasnoselkup,RU,2021-10-25 20:57:36,65.7,82.4667,13.6,91,81,8.97
241,Kachiry,KZ,2021-10-25 20:57:36,53.0675,76.1036,48.02,52,100,9.42
242,Touros,BR,2021-10-25 20:57:37,-5.1989,-35.4608,83.3,73,0,17.18
243,Alyangula,AU,2021-10-25 20:57:37,-13.8483,136.4192,73.27,100,90,4.61
244,Deputatskiy,RU,2021-10-25 20:57:38,69.3,139.9,-2.63,99,99,0.94
245,San Antonio,US,2021-10-25 20:55:39,29.4241,-98.4936,92.89,63,0,7.18
246,Sioux Lookout,CA,2021-10-25 20:57:38,50.1001,-91.917,43.18,75,75,5.75
247,Lavrentiya,RU,2021-10-25 20:57:39,65.5833,-171.0,17.47,78,100,10.09
248,Taungdwingyi,MM,2021-10-25 20:57:39,20.0167,95.55,72.37,93,12,2.82
249,Guane,CU,2021-10-25 20:57:39,22.2025,-84.0875,83.46,79,100,6.35
250,San Patricio,US,2021-10-25 20:57:40,28.017,-97.5169,93.29,54,95,11.1
251,Naze,JP,2021-10-25 20:57:40,28.3667,129.4833,66.25,64,0,10.47
252,Buraydah,SA,2021-10-25 20:57:41,26.326,43.975,79.25,33,0,12.88
253,Banjar,ID,2021-10-25 20:57:41,-8.19,114.9675,76.91,91,92,4.74
254,Narasannapeta,IN,2021-10-25 20:57:42,18.4167,84.05,72.59,81,1,5.08
255,Colombo,LK,2021-10-25 20:55:27,6.9319,79.8478,73.35,82,100,6.02
256,Xuchang,CN,2021-10-25 20:57:42,34.0167,113.8167,50.88,71,89,4.63
